circuit_id,country,lat,lng
0,1,-37.8497,144.968
1,16,2.76083,101.738
2,4,26.0325,50.5106
3,27,41.57,2.26111
4,30,40.9517,29.405
5,18,43.7347,7.42056
6,7,45.5,-73.5228
7,9,46.8642,3.16361
8,32,52.0786,-1.01694
9,10,49.3278,8.56583
10,11,47.5789,19.2486
11,27,39.4589,-0.331667
12,5,50.4372,5.97139
13,13,45.6156,9.28111
14,25,1.2914,103.864
15,14,35.3717,138.927
16,8,31.3389,121.22
17,6,-23.7036,-46.6997
18,33,39.795,-86.2347
19,10,50.3356,6.9475
20,13,44.3439,11.7167
21,14,34.8431,136.541
22,34,36.1147,-115.173
23,31,24.4672,54.6031
24,0,-34.6943,-58.4593
25,27,36.7083,-6.03417
26,21,38.7506,-9.39417
27,14,34.915,134.221
28,1,-34.9272,138.617
29,26,-25.9894,28.0767
30,32,52.8306,-1.37528
31,17,19.4042,-99.0907
32,33,33.4479,-112.075
33,9,43.2506,5.79167
34,15,34.7333,126.417
35,6,-22.9756,-43.395
36,33,42.3298,-83.0401
37,32,51.3569,0.263056
38,20,52.3888,4.54092
39,5,50.9894,5.25694
40,9,47.3625,4.89913
41,33,32.7774,-96.7587
42,33,33.7651,-118.189
43,33,36.1162,-115.174
44,27,40.6171,-3.58558
45,33,42.3369,-76.9272
46,28,57.2653,13.6042
47,7,44.0481,-78.6756
48,27,41.3664,2.15167
49,5,50.6211,4.32694
50,9,45.7472,3.03889
51,7,46.1877,-74.6099
52,9,49.3306,1.00458
53,9,47.95,0.224231
54,9,49.2542,3.93083
55,26,-33.0486,27.8736
56,2,47.2039,14.7478
57,32,53.4769,-2.94056
58,21,41.1705,-8.67325
59,33,33.937,-117.273
60,10,52.4806,13.2514
61,21,38.7197,-9.20306
62,33,27.4547,-81.3483
63,19,33.5786,-7.6875
64,13,42.475,14.1508
65,29,46.9589,7.40194
66,27,41.3903,2.11667
67,12,28.3487,77.5331
68,33,30.1328,-97.6411
69,2,47.2197,14.7647
70,23,43.4057,39.9578
71,3,40.3725,49.8533
72,21,37.227,-8.6267
73,13,43.9975,11.3719
74,24,21.6319,39.1044
75,22,25.49,51.4542
76,33,25.9581,-80.2389
