constructor_id,nationality
0,5
1,10
2,5
3,9
4,14
5,14
6,15
7,15
8,2
9,12
10,15
11,7
12,20
13,7
14,23
15,5
16,13
17,14
18,5
19,9
20,5
21,14
22,5
23,5
24,5
25,5
26,9
27,14
28,5
29,5
30,5
31,5
32,9
33,5
34,14
35,14
36,5
37,14
38,9
39,14
40,5
41,14
42,14
43,14
44,5
45,14
46,10
47,10
48,5
49,23
50,5
51,5
52,14
53,11
54,4
55,5
56,5
57,6
58,14
59,10
60,17
61,5
62,5
63,9
64,5
65,0
66,5
67,1
68,7
69,23
70,15
71,0
72,15
73,5
74,5
75,5
76,18
77,5
78,5
79,14
80,9
81,5
82,5
83,23
84,14
85,5
86,0
87,21
88,5
89,5
90,5
91,19
92,5
93,10
94,5
95,5
96,6
97,5
98,3
99,5
100,5
101,23
102,14
103,14
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,5
116,5
117,0
118,0
119,0
120,0
121,5
122,14
123,5
124,5
125,14
126,9
127,0
128,9
129,10
130,14
131,5
132,0
133,0
134,0
135,14
136,0
137,0
138,10
139,9
140,0
141,0
142,10
143,10
144,8
145,10
146,5
147,0
148,0
149,5
150,5
151,14
152,9
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,14
162,22
163,5
164,5
165,5
166,5
167,5
168,5
169,5
170,5
171,14
172,14
173,5
174,5
175,5
176,14
177,5
178,5
179,5
180,5
181,21
182,21
183,5
184,5
185,5
186,0
187,0
188,5
189,5
190,5
191,5
192,5
193,9
194,5
195,5
196,5
197,5
198,5
199,5
200,5
201,5
202,16
203,20
204,16
205,5
206,5
207,0
208,5
209,14
210,9
